Flight ID,Airline,Flight_Distance,Origin_Airport,Destination_Airport,Scheduled_Departure_Time,Day_of_Week,Month,Airplane_Type,Weather_Score,Previous_Flight_Delay_Minutes,Airline_Rating,Passenger_Load,Flight_Cancelled,Dep_Hour,Dep_Minute
7319483,Airline D,475,Airport 3,Airport 2,4,6,1,Type C,0.225122,5.0,2.151974,0.477202,False,0,4
4791965,Airline E,538,Airport 5,Airport 4,12,1,6,Type B,0.060346,68.0,1.600779,0.159718,True,0,12
2991718,Airline C,565,Airport 1,Airport 2,17,3,9,Type C,0.09392,18.0,4.406848,0.256803,False,0,17
4220106,Airline E,658,Airport 5,Airport 3,1,1,8,Type B,0.65675,13.0,0.998757,0.504077,True,0,1
2263008,Airline E,566,Airport 2,Airport 2,19,7,12,Type E,0.505211,4.0,3.806206,0.019638,False,0,19
9450813,Airline B,446,Airport 4,Airport 5,3,5,2,Type D,0.030072,5.0,2.228958,0.424126,False,0,3
3515052,Airline C,688,Airport 4,Airport 2,12,4,9,Type B,0.969662,50.0,4.992475,0.678061,True,0,12
5641104,Airline C,472,Airport 2,Airport 4,23,7,8,Type D,0.656046,12.0,3.056995,0.517755,False,0,23
5559237,Airline C,591,Airport 3,Airport 5,15,2,12,Type D,0.515469,38.0,0.720948,0.5981,True,0,15
6633214,Airline E,442,Airport 3,Airport 5,5,6,9,Type B,0.272724,2.0,2.097606,0.326618,False,0,5
9421450,Airline D,422,Airport 4,Airport 5,7,3,4,Type E,0.658099,30.0,0.331495,0.183076,True,0,7
2858209,Airline C,364,Airport 4,Airport 2,15,7,9,Type A,0.364168,76.0,1.428278,0.809741,True,0,15
6765292,Airline A,371,Airport 1,Airport 2,12,4,2,Type A,0.802494,8.888889,0.858292,1.018839,True,0,12
3779836,Airline B,452,Airport 3,Airport 2,22,3,1,Type D,0.682572,25.0,4.265883,0.510741,False,0,22
711596,Airline D,630,Airport 2,Airport 3,3,2,9,Type E,0.092744,84.0,4.389937,0.305041,True,0,3
517306,Airline B,526,Airport 3,Airport 5,1,6,10,Type E,0.909261,38.0,0.057786,0.511205,True,0,1
3553627,Airline D,322,Airport 1,Airport 5,8,5,8,Type C,0.486974,0.666667,2.661393,0.878986,True,0,8
9978315,Airline E,583,Airport 4,Airport 4,17,7,7,Type E,0.392945,14.0,1.317719,0.691406,False,0,17
3344010,Airline A,499,Airport 4,Airport 3,16,7,8,Type D,0.955462,2.0,1.600465,0.858616,True,0,16
2149482,Airline A,651,Airport 1,Airport 2,7,7,12,Type A,0.538209,52.44444,0.054128,0.369427,True,0,7
1149015,Airline B,450,Airport 2,Airport 2,14,2,1,Type A,0.721221,19.33333,3.748729,0.711979,False,0,14
4072442,Airline E,409,Airport 4,Airport 4,8,3,9,Type C,0.655136,62.0,4.752949,0.653049,True,0,8
5741517,Airline D,673,Airport 5,Airport 2,16,3,12,Type B,0.16514,0.0,1.296335,0.571616,False,0,16
8837010,Airline A,600,Airport 1,Airport 2,22,2,10,Type A,1.091143,14.22222,0.854432,0.594253,True,0,22
5247488,Airline A,329,Airport 5,Airport 2,1,7,11,Type A,0.463604,3.0,1.03217,0.550978,True,0,1
4014844,Airline A,536,Airport 1,Airport 2,5,1,9,Type A,0.494783,7.111111,2.525122,0.95588,True,0,5
9444124,Airline C,329,Airport 1,Airport 2,4,2,12,Type B,0.919613,5.0,0.04678,0.915995,True,0,4
9163517,Airline B,595,Airport 4,Airport 2,16,6,11,Type C,0.529238,11.0,2.919311,0.11286,False,0,16
7223667,Airline D,388,Airport 3,Airport 3,1,6,9,Type C,0.705077,34.0,4.35382,0.568772,True,0,1
6593966,Airline D,374,Airport 5,Airport 4,17,5,6,Type A,0.846246,5.0,0.931536,0.918408,True,0,17
8069823,Airline C,638,Airport 2,Airport 5,9,2,4,Type B,0.235494,19.0,3.149976,0.13474,False,0,9
2948914,Airline D,541,Airport 4,Airport 4,9,4,2,Type A,0.169467,76.0,0.453241,0.412859,True,0,9
6611154,Airline D,573,Airport 2,Airport 2,5,6,11,Type E,0.068507,201.0,4.272926,0.08908,True,0,5
7813168,Airline A,451,Airport 4,Airport 5,11,6,4,Type C,0.897133,8.0,1.372146,0.113476,True,0,11
1520927,Airline C,491,Airport 3,Airport 4,16,6,7,Type D,0.200367,54.66667,4.943767,0.904111,True,0,16
9158995,Airline E,656,Airport 3,Airport 3,12,1,1,Type A,0.307754,9.0,4.810048,0.44618,False,0,12
70855,Airline C,532,Airport 3,Airport 2,19,4,9,Type E,0.285807,10.66667,3.86258,0.68874,False,0,19
2643614,Airline E,733,Airport 3,Airport 2,15,7,3,Type C,0.304588,63.0,2.684213,0.138914,True,0,15
7664539,Airline A,480,Airport 1,Airport 2,9,7,4,Type B,0.668061,46.0,3.832946,0.021947,True,0,9
2314231,Airline A,595,Airport 1,Airport 2,20,2,12,Type A,1.054114,51.55556,0.326523,1.001794,True,0,20
4987114,Airline D,610,Airport 5,Airport 2,1,1,5,Type B,0.329453,48.0,1.750998,0.574546,True,0,1
5711316,Airline A,519,Airport 2,Airport 5,1,6,12,Type B,0.407647,8.0,0.334482,0.019988,True,0,1
3264560,Airline D,636,Airport 4,Airport 4,22,7,3,Type A,0.771147,16.0,3.225123,0.992339,True,0,22
6409414,Airline B,446,Airport 4,Airport 2,6,4,4,Type A,0.432338,14.0,4.027688,0.492192,False,0,6
2493932,Airline B,586,Airport 1,Airport 4,5,7,5,Type C,0.926043,18.0,4.731428,0.475877,True,0,5
4855327,Airline A,396,Airport 4,Airport 2,0,4,12,Type E,0.503218,3.333333,3.432536,0.620914,True,0,0
409710,Airline B,373,Airport 1,Airport 5,11,1,1,Type C,0.347735,11.0,3.660456,0.007905,True,0,11
9190051,Airline E,503,Airport 5,Airport 2,12,7,9,Type D,0.971572,38.66667,4.477279,0.569138,True,0,12
2614163,Airline B,487,Airport 2,Airport 3,11,6,10,Type B,0.425782,45.33333,4.68189,0.629484,True,0,11
9791618,Airline D,389,Airport 5,Airport 2,18,1,10,Type B,0.231175,28.0,2.456488,0.296954,True,0,18
753713,Airline D,576,Airport 3,Airport 5,8,3,4,Type A,0.177701,20.0,0.748937,0.726852,True,0,8
3228801,Airline D,656,Airport 3,Airport 2,9,6,9,Type E,0.995181,37.0,2.332087,0.377432,True,0,9
4503142,Airline D,467,Airport 3,Airport 2,16,1,4,Type A,0.752988,18.66667,2.780369,0.717773,False,0,16
9501243,Airline E,604,Airport 5,Airport 5,17,2,1,Type D,0.40866,123.0,3.357724,0.143825,True,0,17
